,name,new_price,old_price,saved_price,sku,url,more_info
865,3PC Rawsilk Embroidered Suit GLM-23-04,6156,12311,6155,W-AP-23-357928 -P,https://www.gulahmedshop.com/3pc-rawsilk-embroidered-suit-glm-23-04,"Raw Silk, Tissue Silk, Raw Silk, No, 41% to 50%"
866,3PC Cambric Embroidered Suit IPS-22-171,4359,8717,4358,W-AP-23-350983 -P,https://www.gulahmedshop.com/3pc-cambric-embroidered-suit-ips-22-171,"Cambric, Lawn, Cambric, No, 41% to 50%"
867,Cambric Dyed Embroidered Shirt And Trouser With Dupatta WGK-CMS-DE-2231,7183,14365,7182,W-AP-23-362531 -P,https://www.gulahmedshop.com/cambric-dyed-embroidered-shirt-and-trouser-with-dupatta-wgk-cms-de-2231,"Cambric, Khaddi Net, Cambric, No, 41% to 50%"
868,Printed Melody Printed Tusser Silk Shirt And Raw Silk Trouser WGK-CHS-DP-2536,3589,7177,3588,W-AP-23-359656 -P,https://www.gulahmedshop.com/printed-melody-printed-tusser-silk-shirt-and-raw-silk-trouser-wgk-chs-dp-2536,"Silk, Raw Silk, No, 41% to 50%"
869,The Loom Yarn Dyed Shirt WGK-YDS-DY-2461,2490,4713,2223,W-AP-23-356753 -P,https://www.gulahmedshop.com/the-loom-yarn-dyed-shirt-wgk-yds-dy-2461,"Yarn Dyed, No, 41% to 50%"
870,Lawn Printed Shirt WGK-LWS-DP-2509,0,0,0,W-AP-23-358114 -P,https://www.gulahmedshop.com/lawn-printed-shirt-wgk-lws-dp-2509,"Lawn, No, 31% to 40%"
871,Lawn Printed Shirt And Trouser WGK-CMS-DP-2841,2495,4990,2495,W-AP-23-370414 -P,https://www.gulahmedshop.com/lawn-printed-shirt-and-trouser-wgk-cms-dp-2841,"Lawn, Lawn, No, 41% to 50%"
872,Yarn Dyed Shirt WGK-YDS-DY-2620,2408,4816,2408,W-AP-23-363609 -P,https://www.gulahmedshop.com/yarn-dyed-shirt-wgk-yds-dy-2620,"Yarn Dyed, No, 41% to 50%"
873,Khaddar Embroidered Shirt And Dupatta WGK-KDW-DE-1935,4616,9231,4615,W-AP-23-362465 -P,https://www.gulahmedshop.com/khaddar-embroidered-shirt-and-dupatta-wgk-kdw-de-1935,"Khaddar, khaddar, No, 41% to 50%"
874,Screen Printed Cambric Embroidered Shirt GLS-23-207,0,"6,150",0,W-AP-23-364858 -P,https://www.gulahmedshop.com/screen-printed-cambric-embroidered-shirt-gls-23-207,"Cambric, No"
875,Dyed Jacquard Shirt GLS-23-34,0,"4,390",0,W-AP-23-369854 -P,https://www.gulahmedshop.com/dyed-jacquard-shirt-gls-23-34,"Jacquard, No"
876,Dyed Cambric Embroidered Shirt GLS-23-211,0,"5,432",0,W-AP-23-364840 -P,https://www.gulahmedshop.com/dyed-cambric-embroidered-shirt-gls-23-211,"Cambric, No"
877,Digital Printed Cambric Suit IPS-23-36,0,"6,690",0,W-AP-23-371163 -P,https://www.gulahmedshop.com/digital-printed-cambric-suit-ips-23-36,"Cambric, Cambric, No"
878,Digital Printed Cambric Suit IPS-23-37,0,"6,690",0,W-AP-23-371157 -P,https://www.gulahmedshop.com/digital-printed-cambric-suit-ips-23-37,"Cambric, Cambric, No"
879,Digital Printed Cambric Suit IPS-23-39,0,"6,690",0,W-AP-23-371145 -P,https://www.gulahmedshop.com/digital-printed-cambric-suit-ips-23-39,"Cambric, Cambric, No"
880,Digital Printed Cambric Suit IPS-23-40,0,"6,690",0,W-AP-23-371139 -P,https://www.gulahmedshop.com/digital-printed-cambric-suit-ips-23-40,"Cambric, Cambric, No"
881,Cambric Printed Shirt And Dyed Trouser Printed Lawn Dupatta WGK-CMW-DP-2938,3495,6990,3495,W-AP-23-373312 -P,https://www.gulahmedshop.com/cambric-printed-shirt-and-dyed-trouser-printed-lawn-dupatta-wgk-cmw-dp-2938,"Cambric, Lawn, Cambric, No, 41% to 50%"
882,Cambric Printed Shirt And Trouser Printed Lawn Dupatta WGK-CMW-DP-3200,3495,6990,3495,W-AP-23-373348 -P,https://www.gulahmedshop.com/cambric-printed-shirt-and-trouser-printed-lawn-dupatta-wgk-cmw-dp-3200,"Cambric, Lawn, Cambric, No, 41% to 50%"
883,Khaddar Printed Shirt And Trouser WGK-KDW-DP-3082,0,"4,690",0,W-AP-23-375341 -P,https://www.gulahmedshop.com/khaddar-printed-shirt-and-trouser-wgk-kdw-dp-3082,"Khaddar, Khaddar, No"
884,Rust Poly Viscose Scarf SCF-23-02,0,"2,790",0,W-AP-23-375434,https://www.gulahmedshop.com/rust-poly-viscose-scarf-scf-23-02,"Poly Viscose, No"
885,Solid Scarf WG-SCF-22-052,990,1119,129,W-AP-22-324689,https://www.gulahmedshop.com/solid-scarf-wg-scf-22-052,"Blended, No, 11% to 20%"
886,Solid Scarf WG-SCF-22-053,990,1119,129,W-AP-22-324677,https://www.gulahmedshop.com/solid-scarf-wg-scf-22-053,"Blended, No, 11% to 20%"
887,Solid Scarf WG-SCF-22-062,990,1119,129,W-AP-22-324816,https://www.gulahmedshop.com/solid-scarf-wg-scf-22-062,"Blended, No, 11% to 20%"
888,Solid Scarf WG-SCF-22-063,990,1119,129,W-AP-22-324796,https://www.gulahmedshop.com/solid-scarf-wg-scf-22-063,"Blended, No, 11% to 20%"
889,Solid Scarf WG-SCF-22-068,990,1119,129,W-AP-22-324806,https://www.gulahmedshop.com/solid-scarf-wg-scf-22-068,"Blended, No, 11% to 20%"
890,Solid Scarf WG-SCF-22-071,990,1119,129,W-AP-22-324805,https://www.gulahmedshop.com/solid-scarf-wg-scf-22-071,"Blended, No, 11% to 20%"
891,Lilac Loose Fit V-Neck Top 224-216-311 T,2274,3789,1515,W-AP-22-337658 -P,https://www.gulahmedshop.com/lilac-loose-fit-v-neck-top-224-216-311-t,"No, 31% to 40%"
892,Light Blue Denim Jacket 224-210-010,2397,3994,1597,W-AP-22-326085 -P,https://www.gulahmedshop.com/light-blue-denim-jacket-224-210-010,"No, 31% to 40%"
893,Black Jacket 224-220-211,2890,4816,1926,W-AP-22-337616 -P,https://www.gulahmedshop.com/black-jacket-224-220-211,"No, 31% to 40%"
894,Odhani Printed Scarf WGK-SCDP-CH-114,990,1427,437,W-AP-22-341138,https://www.gulahmedshop.com/odhani-printed-scarf-wgk-scdp-ch-114,"Chiffon, No, 31% to 40%"
895,Odhani Printed Scarf WGK-SCDP-CH-116,990,1427,437,W-AP-22-341142,https://www.gulahmedshop.com/odhani-printed-scarf-wgk-scdp-ch-116,"Chiffon, No, 31% to 40%"
896,Odhani Embllished Dupatta WGK-DPT-JQ-91,990,1735,745,W-AP-22-328255,https://www.gulahmedshop.com/odhani-embllished-dupatta-wgk-dpt-jq-91,"No, 41% to 50%"
897,Studio Collection Dyed Long Shirt WG-WS-22-W1 A,0,"3,994",0,W-AP-22-329050 -P,https://www.gulahmedshop.com/studio-collection-dyed-long-shirt-wg-ws-22-w1-a,"Blended, No"
898,Studio Collection Dyed Long Shirt WG-WS-22-W1 B,0,"3,994",0,W-AP-22-329055 -P,https://www.gulahmedshop.com/studio-collection-dyed-long-shirt-wg-ws-22-w1-b,"Blended, No"
899,Studio Collection Dyed Shirt WG-WS-22-W3 B,0,"3,378",0,W-AP-22-329075 -P,https://www.gulahmedshop.com/studio-collection-dyed-shirt-wg-ws-22-w3-b,"Poly Crepe, No"
900,Dark Blue Denim Jacket 224-210-089,2951,4918,1967,W-AP-22-326113 -P,https://www.gulahmedshop.com/dark-blue-denim-jacket-224-210-089,"No, 31% to 40%"
901,Needle Craft Embroidered Shirt WGK-CMS-DE-1214,1990,3789,1799,W-AP-23-346979 -P,https://www.gulahmedshop.com/needle-craft-embroidered-shirt-wgk-cms-de-1214,"Lawn, No, 41% to 50%"
902,Bottom WGK-TRW-SP-248,990,1941,951,W-AP-23-348605 -P,https://www.gulahmedshop.com/bottom-wgk-trw-sp-248,"Cambric, No, 41% to 50%"
903,Bottom WGK-TRW-DY-310,990,1838,848,W-AP-23-343476 -P,https://www.gulahmedshop.com/bottom-wgk-trw-dy-310,"Khaddar, No, 41% to 50%"
904,Cambric Digital Printed Shirt GLS-22-209,1491,2762,1271,W-AP-23-348946 -P,https://www.gulahmedshop.com/cambric-digital-printed-shirt-gls-22-209,"Cambric, No, 41% to 50%"
905,Printed Meody Embroidered Shirt And Trouser WGK-LWS-PE-2161,3589,7177,3588,W-AP-23-348665 -P,https://www.gulahmedshop.com/printed-meody-embroidered-shirt-and-trouser-wgk-lws-pe-2161,"Lawn, Lawn, No, 41% to 50%"
906,Odhani Printed Scarf WG-SCF-22-077,990,1540,550,W-AP-23-341768,https://www.gulahmedshop.com/odhani-printed-scarf-wg-scf-22-077,"Blended, No, 31% to 40%"
907,Odhani Printed Scarf WG-SCF-22-078,990,1540,550,W-AP-23-341769,https://www.gulahmedshop.com/odhani-printed-scarf-wg-scf-22-078,"Blended, No, 31% to 40%"
908,Odhani Printed Scarf WG-SCF-22-079,990,1540,550,W-AP-23-341770,https://www.gulahmedshop.com/odhani-printed-scarf-wg-scf-22-079,"Blended, No, 31% to 40%"
909,Odhani Printed Scarf WG-SCF-22-082,990,1540,550,W-AP-23-341773,https://www.gulahmedshop.com/odhani-printed-scarf-wg-scf-22-082,"Blended, No, 31% to 40%"
910,Odhani Printed Scarf WG-SCF-22-086,990,1540,550,W-AP-23-341777,https://www.gulahmedshop.com/odhani-printed-scarf-wg-scf-22-086,"Blended, No, 31% to 40%"
911,Odhani Printed Scarf WG-SCF-22-087,990,1540,550,W-AP-23-341778,https://www.gulahmedshop.com/odhani-printed-scarf-wg-scf-22-087,"Blended, No, 31% to 40%"
912,Odhani Printed Scarf WG-SCF-22-094,990,1540,550,W-AP-23-341785,https://www.gulahmedshop.com/odhani-printed-scarf-wg-scf-22-094,"Blended, No, 31% to 40%"
913,Odhani Printed Scarf WG-SCF-22-096,990,1540,550,W-AP-23-341787,https://www.gulahmedshop.com/odhani-printed-scarf-wg-scf-22-096,"Blended, No, 31% to 40%"
914,Baahira Collection Dyed Embroidered Shirt WGK-DBW-DE-2438,2490,4610,2120,W-AP-23-351290 -P,https://www.gulahmedshop.com/baahira-collection-dyed-embroidered-shirt-wgk-dbw-de-2438,"Dobby, No, 41% to 50%"
915,Baahira Collection Dyed Embroidered Shirt WGK-DBW-DE-2439,2490,5021,2531,W-AP-23-351296 -P,https://www.gulahmedshop.com/baahira-collection-dyed-embroidered-shirt-wgk-dbw-de-2439,"Dobby, No, 41% to 50%"
916,Embroidered Cambric Trouser WGK-TRW-DE-230,1490,2762,1272,W-AP-23-348588 -P,https://www.gulahmedshop.com/embroidered-cambric-trouser-wgk-trw-de-230,"Cambric, No, 41% to 50%"
917,Digital Printed Cambric Shirt GLS-23-17,1990,3378,1388,W-AP-23-355459 -P,https://www.gulahmedshop.com/digital-printed-cambric-shirt-gls-23-17,"Cambric, No, 41% to 50%"
918,2 PC Cambric Shirt with Trouser IPS-23-13,3230,6458,3228,W-AP-23-355681 -P,https://www.gulahmedshop.com/2-pc-cambric-shirt-with-trouser-ips-23-13,"Cambric, Cambric, No, 41% to 50%"
919,Color Block Yarn Dyed Block Printed Shirt And Trouser WGK-YDW-SP-2045,4103,8204,4101,W-AP-23-349134 -P,https://www.gulahmedshop.com/color-block-yarn-dyed-block-printed-shirt-and-trouser-wgk-ydw-sp-2045,"Yarn Dyed, Yarn Dyed, No, 41% to 50%"
920,3PC Rawsilk Embroidered Suit GLM-23-04,6156,12311,6155,W-AP-23-357928 -P,https://www.gulahmedshop.com/3pc-rawsilk-embroidered-suit-glm-23-04,"Raw Silk, Tissue Silk, Raw Silk, No, 41% to 50%"
921,3PC Cambric Embroidered Suit IPS-22-171,4359,8717,4358,W-AP-23-350983 -P,https://www.gulahmedshop.com/3pc-cambric-embroidered-suit-ips-22-171,"Cambric, Lawn, Cambric, No, 41% to 50%"
922,2PC Cambric Embellished Shirt with Trouser IPS-23-30,3435,6869,3434,W-AP-23-355753 -P,https://www.gulahmedshop.com/2pc-cambric-embellished-shirt-with-trouser-ips-23-30,"Cambric, Cambric, No, 41% to 50%"
923,Cambric Dyed Embroidered Shirt And Trouser With Dupatta WGK-CMS-DE-2231,7183,14365,7182,W-AP-23-362531 -P,https://www.gulahmedshop.com/cambric-dyed-embroidered-shirt-and-trouser-with-dupatta-wgk-cms-de-2231,"Cambric, Khaddi Net, Cambric, No, 41% to 50%"
